synset,pos,name,src
07125096-n,n,expletive,eng30
07126228-n,n,expletive,eng30
14123044-n,n,measles,eng30
08030185-n,n,contras,eng30
09902017-n,n,beef_man,eng30
03259505-n,n,dwelling,eng30
14599641-n,n,acetum,eng30
07828987-n,n,acetum,eng30
09361816-n,n,mount_carmel,eng30
11660537-n,n,class_taxopsida,eng30
13098515-n,n,vascular_ray,eng30
01629093-n,n,genus_salamandra,eng30
05559256-n,n,prat,eng30
15024773-n,n,oxyhaemoglobin,eng30
02523750-n,n,genus_melanogrammus,eng30
08983105-n,n,warsaw,eng30
09067277-n,n,colorado,eng30
09250016-n,n,colorado,eng30
09249418-n,n,colorado,eng30
04420461-n,n,fuel-air_bomb,eng30
06134271-n,n,industrial_engineering,eng30
03834604-n,n,atomic_weapon,eng30
14369408-n,n,apnea,eng30
05284132-n,n,maxillary,eng30
08717059-n,n,cambodian_capital,eng30
10172448-n,n,solitudinarian,eng30
01615703-n,n,haliaeetus_leucorhyphus,eng30
10846913-n,n,bering,eng30
04825383-n,n,evasiveness,eng30
13749894-n,n,lxx,eng30
14313661-n,n,mumification_necrosis,eng30
01413188-n,n,family_desmidiaceae,eng30
04398497-n,n,teashop,eng30
12590232-n,n,oil_palm,eng30
13622209-n,n,imperial_gallon,eng30
00300037-n,n,pack_riding,eng30
00324056-n,n,blood_transfusion,eng30
13363056-n,n,spendthrift_trust,eng30
14886579-n,n,nitrostat,eng30
03826762-n,n,nitrostat,eng30
11073795-n,n,isabella,eng30
07653394-n,n,cut_of_meat,eng30
08905467-n,n,tamil_nadu,eng30
09037133-n,n,friendly_islands,eng30
08229275-n,n,chess_club,eng30
13598715-n,n,atomic_number,eng30
11700676-n,n,genus_calycanthus,eng30
05959263-n,n,british_empiricism,eng30
02684649-n,n,aiglet,eng30
02684515-n,n,aiglet,eng30
00346296-n,n,change_of_direction,eng30
04595285-n,n,wire_matrix_printer,eng30
12665271-n,n,waldmeister,eng30
07821260-n,n,waldmeister,eng30
08675967-n,n,urban_area,eng30
14391480-n,n,unipolar_depression,eng30
05668581-n,n,courtly_love,eng30
05999455-n,n,metaknowledge,eng30
11827169-n,n,batidaceae,eng30
06933279-n,n,kuki-chin,eng30
08816236-n,n,federal_republic_of_yugoslavia,eng30
05491993-n,n,cerebrum,eng30
12344131-n,n,genus_oenothera,eng30
07927197-n,n,soft_drink,eng30
00624738-n,n,exercise,eng30
00947128-n,n,exercise,eng30
00894552-n,n,exercise,eng30
00729919-n,n,exercise,eng30
07454452-n,n,exercise,eng30
09686146-n,n,zoroastrian,eng30
06146760-n,n,paleoethnography,eng30
10306004-n,n,medical_scientist,eng30
09014470-n,n,kovno,eng30
02038617-n,n,family_glareolidae,eng30
06674947-n,n,course_catalogue,eng30
00126584-n,n,batting,eng30
02810930-n,n,batting,eng30
14750122-n,n,stilbestrol,eng30
04853361-n,n,villainousness,eng30
00657420-n,n,topical_prostaglandin_eyedrop,eng30
13350875-n,n,pawn,eng30
10209616-n,n,pawn,eng30
03901750-n,n,pawn,eng30
01111236-n,n,pawn,eng30
07688265-n,n,ashcake,eng30
05979454-n,n,bewitchment,eng30
12965463-n,n,claviceps,eng30
06050901-n,n,gynaecology,eng30
14092456-n,n,monorchidism,eng30
07886317-n,n,kavakava,eng30
12831535-n,n,columnea,eng30
13714756-n,n,k,eng30
14650807-n,n,k,eng30
13750844-n,n,k,eng30
13627681-n,n,k,eng30
13627516-n,n,k,eng30
06832248-n,n,k,eng30
03606572-n,n,k,eng30
02354320-n,n,geomys_pinetis,eng30
15182189-n,n,"new_year's_day",eng30
09825750-n,n,car-mechanic,eng30
10934154-n,n,diaz,eng30
14252184-n,n,testicular_cancer,eng30
09930772-n,n,clothier,eng30
11283158-n,n,sax,eng30
04141076-n,n,sax,eng30
11038505-n,n,heinlein,eng30
13505843-n,n,lachrymation,eng30
11669786-n,n,floweret,eng30
02120997-n,n,feline,eng30
09604868-n,n,snoopy,eng30
11606846-n,n,genus_cordaites,eng30
09711754-n,n,arcadian,eng30
06447400-n,n,second_epistel_of_john,eng30
11117307-n,n,lao-tse,eng30
15208333-n,n,sidereal_day,eng30
06877742-n,n,wry_face,eng30
00623670-n,n,substituting,eng30
05014710-n,n,basal_body_temperature,eng30
06558893-n,n,speeding_ticket,eng30
10604180-n,n,six-footer,eng30
04491135-n,n,trump_card,eng30
04829922-n,n,lenity,eng30
11732567-n,n,consolida_ambigua,eng30
09079505-n,n,hawaii_island,eng30
03912328-n,n,pentaerythritol,eng30
14138364-n,n,epidemic_meningitis,eng30
07627931-n,n,puff_paste,eng30
02191449-n,n,family_calliphoridae,eng30
02185481-n,n,biting_louse,eng30
13497784-n,n,induction_heating,eng30
08075388-n,n,sodality,eng30
09381242-n,n,outcrop,eng30
08498888-n,n,asteroid_belt,eng30
14507375-n,n,phenylketonuria,eng30
11413661-n,n,dent,eng30
13904843-n,n,dent,eng30
04693384-n,n,dent,eng30
13148602-n,n,order_piperales,eng30
03509025-n,n,heating_plant,eng30
02234848-n,n,crotonbug,eng30
14518820-n,n,water_pollution,eng30
03019198-n,n,chinning_bar,eng30
06524454-n,n,service_contract,eng30
02874214-n,n,booth,eng30
02873839-n,n,booth,eng30
10857540-n,n,booth,eng30
02874086-n,n,booth,eng30
13733979-n,n,multiplicand,eng30
02102806-n,n,american_water_spaniel,eng30
13745086-n,n,8,eng30
06616806-n,n,documentary,eng30
12342498-n,n,rosebay_willowherb,eng30
14353479-n,n,retrobulbar_neuritis,eng30
03562408-n,n,immersion_heater,eng30
08014860-n,n,divine_unity,eng30
00331531-n,n,troop_movement,eng30
04206695-n,n,shot_hole,eng30
03425595-n,n,gas_stove,eng30
05480076-n,n,vagus,eng30
10823369-n,n,neil_armstrong,eng30
10654015-n,n,amanuensis,eng30
13747989-n,n,xix,eng30
06810238-n,n,octal_numeration_system,eng30
11821929-n,n,stone_mimicry_plant,eng30
13993685-n,n,free_hand,eng30
03213715-n,n,distributor_housing,eng30
05401587-n,n,rh-negative_blood,eng30
01890144-n,n,hair-tailed_mole,eng30
03875088-n,n,palliasse,eng30
10182499-n,n,householder,eng30
13732295-n,n,common_fraction,eng30
10704712-n,n,texas_ranger,eng30
