synset,resource,xref,misc,confidence
00001740-a,sumo,capability,=,
00002098-a,sumo,capability,"⊂",
00002312-a,sumo,PositionalAttribute,"⊂",
00002527-a,sumo,PositionalAttribute,"⊂",
00002956-a,sumo,BiologicalAttribute,"⊂",
00003131-a,sumo,BiologicalAttribute,"⊂",
00003356-a,sumo,BeginFn,"⊂",
00004413-a,sumo,Summary,=,
00004980-a,sumo,Text,"⊂",
00005205-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00006032-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00006336-a,sumo,capability,"⊂",
00007813-a,sumo,capability,"⊂",
00008206-a,sumo,capability,"⊂",
00008595-a,sumo,capability,"⊂",
00008734-a,sumo,capability,"⊂",
00008877-a,sumo,capability,"⊂",
00009046-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00009978-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00011757-a,sumo,Abstract,=,
00013160-a,sumo,Physical,"⊂",
00013887-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00016756-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00017352-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00017688-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00017782-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00018584-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00019131-a,sumo,capability,"⊂",
00019874-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00020787-a,sumo,PsychologicalAttribute,"⊂",
00021403-a,sumo,PsychologicalAttribute,"⊂",
00021766-a,sumo,True,"⊂",
00023383-a,sumo,False,"⊂",
00024417-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00024834-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00025238-a,sumo,Substance,"⊂",
00025728-a,sumo,Substance,"⊂",
00026515-a,sumo,Substance,"⊂",
00026706-a,sumo,Organism,"⊂",
00027074-a,sumo,Organism,"⊂",
00027247-a,sumo,Disseminating,"⊂",
00028672-a,sumo,False,"⊂",
00029343-a,sumo,TraitAttribute,"⊂",
00031533-a,sumo,TraitAttribute,"⊂",
00031674-a,sumo,BiologicalAttribute,"⊂",
00031824-a,sumo,BiologicalAttribute,"⊂",
00031974-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00033574-a,sumo,PsychologicalAttribute,"⊂",
00034710-a,sumo,Position,"⊂",
00035074-a,sumo,Position,"⊂",
00035465-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00036481-a,sumo,Process,"⊂",
00037457-a,sumo,BiologicalAttribute,"⊂",
00037757-a,sumo,BiologicalAttribute,"⊂",
00038750-a,sumo,capability,"⊂",
00039592-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00040325-a,sumo,Process,"⊂",
00040685-a,sumo,Process,"⊂",
00041051-a,sumo,capability,"⊂",
00041361-a,sumo,Process,"⊂",
00041618-a,sumo,Verb,"⊂",
00041841-a,sumo,Verb,"⊂",
00042037-a,sumo,Verb,"⊂",
00042228-a,sumo,Verb,"⊂",
00042457-a,sumo,causes,"⊂",
00043125-a,sumo,Process,"⊂",
00043411-a,sumo,Radiating,"⊂",
00043615-a,sumo,Radiating,"⊂",
00043765-a,sumo,exists,"⊂",
00044353-a,sumo,Possibility,=,
